id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
7c094875-df0d-4fbc-8523-2382f11ace3c-33,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364113345,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
7c094875-df0d-4fbc-8523-2382f11ace3c-33,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364113345,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,14,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
7c094875-df0d-4fbc-8523-2382f11ace3c-33,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364113345,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
7c094875-df0d-4fbc-8523-2382f11ace3c-33,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364113345,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
c7e3e225-6c16-4aaa-8f3a-207af6c49484-141,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364106145,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
c7e3e225-6c16-4aaa-8f3a-207af6c49484-141,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364106145,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,14,1,1,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
c7e3e225-6c16-4aaa-8f3a-207af6c49484-141,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364106145,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
c7e3e225-6c16-4aaa-8f3a-207af6c49484-141,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364106145,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
9aeb283a-8fd9-4f2a-879d-3ad984203483-27,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364118145,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
9aeb283a-8fd9-4f2a-879d-3ad984203483-27,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364118145,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,14,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
9aeb283a-8fd9-4f2a-879d-3ad984203483-27,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364118145,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
9aeb283a-8fd9-4f2a-879d-3ad984203483-27,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364118145,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
9aeb283a-8fd9-4f2a-879d-3ad984203483-82,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364119345,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
9aeb283a-8fd9-4f2a-879d-3ad984203483-82,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364119345,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,14,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
9aeb283a-8fd9-4f2a-879d-3ad984203483-82,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364119345,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
9aeb283a-8fd9-4f2a-879d-3ad984203483-82,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364119345,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
1006ac4f-823e-48aa-b5e8-6f93353433b1-44,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364131345,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
1006ac4f-823e-48aa-b5e8-6f93353433b1-44,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364131345,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm,14,1,0,com.google.android.gm.ConversationListActivityGmail,com.google.android.gm
1006ac4f-823e-48aa-b5e8-6f93353433b1-44,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364131345,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
1006ac4f-823e-48aa-b5e8-6f93353433b1-44,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364131345,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
b6817801-d5a1-4e50-9989-4a859e3925a5-30,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364102545,com.android.launcher2.Launcher,com.android.launcher,4,1,1,com.android.launcher2.Launcher,com.android.launcher
b6817801-d5a1-4e50-9989-4a859e3925a5-30,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364102545,org.bewellapp.dashBoardActivity,org.bewellapp,10,1,1,org.bewellapp.dashBoardActivity,org.bewellapp
b6817801-d5a1-4e50-9989-4a859e3925a5-30,688f190a-3d4c-4af2-95f7-19ee6c4d639a,1364102545,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard,3,1,0,com.google.android.setupwizard.SetupWizardActivity,com.google.android.setupwizard
