time,BSSID,freq,level
1364404188,00:01:36:57:be:88,2427,-70
1364404188,00:25:bc:88:5b:6e,5785,-85
1364404188,00:26:18:9f:c0:c9,2437,-27
1364404188,1c:17:d3:fc:db:2f,5200,-64
1364404188,1c:17:d3:fc:f1:10,2412,-79
1364404188,74:44:01:96:50:66,2422,-77
1364404188,ac:a0:16:ca:5b:ef,5765,-89
1364404188,d0:57:4c:56:fd:43,2462,-78
1364404188,d0:57:4c:57:57:ff,5220,-69
1364404188,dc:7b:94:87:27:3d,5785,-84

1364405388,00:01:36:57:be:87,2427,-67
1364405388,00:25:bc:88:5b:6d,2427,-62
1364405388,00:26:18:9f:c0:c9,2437,-32
1364405388,1c:17:d3:fc:db:2f,5200,-64
1364405388,1c:17:d3:fc:f1:1f,5785,-84
1364405388,74:44:01:96:50:66,2422,-77
1364405388,d0:57:4c:56:fd:43,2462,-78
1364405388,d0:57:4c:57:57:ff,5220,-67
1364405388,dc:7b:94:87:27:31,2462,-69

1364406039,00:01:36:57:be:87,2427,-67
1364406039,00:1c:10:af:35:b5,2462,-79
1364406039,00:25:bc:88:5b:6d,2427,-71
1364406039,00:26:18:9f:c0:c9,2437,-32
1364406039,1c:17:d3:fc:db:2f,5200,-70
1364406039,1c:17:d3:fc:f1:10,2412,-79
1364406039,74:44:01:96:50:66,2422,0
1364406039,ac:a0:16:ca:c3:c3,2437,-85
1364406039,d0:57:4c:56:fd:40,2437,-72
1364406039,d0:57:4c:57:57:ff,5220,-69
1364406039,dc:7b:94:87:27:3e,5785,-89

1364406588,00:01:36:57:be:87,2427,-67
1364406588,00:1c:10:af:35:b5,2462,-79
1364406588,00:25:bc:88:5b:6d,2427,-71
1364406588,00:26:18:9f:c0:c9,2437,-32
1364406588,1c:17:d3:fc:db:2f,5200,-70
1364406588,1c:17:d3:fc:f1:10,2412,-79
1364406588,74:44:01:96:50:66,2422,0
1364406588,ac:a0:16:ca:c3:c3,2437,-85
1364406588,d0:57:4c:56:fd:40,2437,-72
1364406588,d0:57:4c:57:57:ff,5220,-69
1364406588,dc:7b:94:87:27:3e,5785,-89

1364407788,00:01:36:57:be:88,2427,-71
1364407788,00:1c:10:af:35:b5,2462,-79
1364407788,00:25:bc:88:5b:6d,2427,-71
1364407788,00:26:18:9f:c0:c9,2437,-36
1364407788,1c:17:d3:fc:db:2f,5200,-72
1364407788,1c:17:d3:fc:f1:10,2412,-79
1364407788,2c:b0:5d:9e:26:6b,2417,0
1364407788,74:44:01:96:50:66,2422,0
1364407788,ac:a0:16:ca:c3:c3,2437,-85
1364407788,d0:57:4c:56:fd:40,2437,-72
1364407788,d0:57:4c:57:57:ff,5220,-67
1364407788,dc:7b:94:87:27:3e,5785,-89

1364407866,00:01:36:57:be:88,2427,-14
1364407866,00:1c:10:af:35:b5,2462,-79
1364407866,00:25:bc:88:5b:6d,2427,-71
1364407866,00:26:18:9f:c0:c9,2437,-36
1364407866,1c:17:d3:fc:db:2f,5200,-65
1364407866,1c:17:d3:fc:f1:10,2412,-76
1364407866,2c:b0:5d:9e:26:6b,2417,-60
1364407866,74:44:01:96:50:66,2422,0
1364407866,ac:a0:16:ca:c3:c3,2437,-83
1364407866,d0:57:4c:56:fd:40,2437,-72
1364407866,d0:57:4c:57:57:ff,5220,-64
1364407866,dc:7b:94:87:27:3e,5785,-89

1364408988,00:26:18:9f:c0:c9,2437,-46

1364409676,00:01:36:57:be:88,2427,-76
1364409676,00:1c:10:af:35:b5,2462,-75
