time,location
1364357163,in[sudikoff],
1364357646,in[sudikoff],
1364358363,in[sudikoff],
1364359484,in[sudikoff],
1364359563,in[sudikoff],
1364360763,in[sudikoff],
1364361963,in[sudikoff],
1364362326,in[sudikoff],
1364363163,in[sudikoff],
1364364186,in[sudikoff],
1364364363,in[sudikoff],
1364365563,in[sudikoff],
1364366046,in[sudikoff],
1364366763,in[sudikoff],
1364367906,in[sudikoff],
1364367963,in[sudikoff],
1364369163,in[sudikoff],
1364369766,in[sudikoff],
1364370363,in[sudikoff],
1364371563,in[sudikoff],
1364371589,in[sudikoff],
1364372763,in[sudikoff],
1364373426,in[sudikoff],
1364373963,in[sudikoff],
1364375163,in[sudikoff],
1364375286,in[sudikoff],
1364376363,in[sudikoff],
1364377099,in[sudikoff],
1364377563,in[sudikoff],
1364378763,in[sudikoff],
1364378905,in[sudikoff],
1364379963,in[sudikoff],
1364380746,in[sudikoff],
1364381163,in[sudikoff],
1364382363,in[sudikoff],
1364382574,in[sudikoff],
1364383563,in[sudikoff],
1364384399,in[sudikoff],
1364384763,in[sudikoff],
1364385963,in[sudikoff],
1364386206,in[sudikoff],
1364387163,in[sudikoff],
1364388066,in[sudikoff],
1364388363,in[sudikoff],
1364389563,in[sudikoff],
1364389926,in[sudikoff],
1364390765,in[sudikoff],
1364391786,in[sudikoff],
1364391963,in[sudikoff],
1364393163,in[sudikoff],
1364393646,in[sudikoff],
1364394363,in[sudikoff],
1364395476,in[sudikoff],
1364395563,in[sudikoff],
1364396763,in[sudikoff],
1364397306,in[sudikoff],
1364397963,in[sudikoff],
1364399163,in[sudikoff],
1364400363,in[sudikoff],
1364401026,in[sudikoff],
1364401563,in[sudikoff],
1364402763,in[sudikoff],
1364402833,in[sudikoff],
1364403963,in[sudikoff],
1364404685,in[sudikoff],
1364405163,in[sudikoff],
1364406363,in[sudikoff],
1364407563,in[sudikoff],
1364408046,in[sudikoff],
1364409876,in[sudikoff],
1364409963,in[sudikoff],
1364411163,in[sudikoff],
1364432845,in[sudikoff],
1364433761,in[sudikoff],
1364434030,in[sudikoff],
1364434045,in[sudikoff],
1364434474,in[sudikoff],
1364435245,in[sudikoff],
1364435586,in[sudikoff],
1364435829,in[sudikoff],
1364436445,in[sudikoff],
1364436629,near[college-street; sudikoff; ],
1364436667,in[college-street],
1364436683,in[mclaughlin],
1364436735,in[mclaughlin],
1364436750,near[ropeferry; dana-library; mclaughlin; ],
1364436859,near[lsb; dana-library; ropeferry; ],
1364436870,near[lsb; vail; dana-library; ],
1364436911,near[lsb; vail; dana-library; ],
1364436935,in[lsb],
1364436958,in[lsb],
1364436977,in[lsb],
